iter	Passed	Remaining
425	3795	659
426	3808	651
427	3828	644
428	3841	635
429	3849	626
430	3859	617
431	3877	610
432	3888	601
433	3902	593
434	3912	584
435	3922	575
436	3935	567
437	3942	558
438	3953	549
439	3961	540
440	3975	531
441	3991	523
442	4007	515
443	4022	507
444	4034	498
445	4053	490
446	4069	482
447	4084	474
448	4111	466
449	4130	458
450	4148	450
451	4164	442
452	4181	433
453	4205	426
454	4225	417
455	4235	408
456	4246	399
457	4258	390
458	4273	381
459	4286	372
460	4295	363
461	4312	354
462	4325	345
463	4343	337
464	4353	327
465	4366	318
466	4417	312
467	4441	303
468	4467	295
469	4486	286
470	4500	277
471	4537	269
472	4562	260
473	4577	251
474	4599	242
475	4624	233
476	4639	223
477	4653	214
478	4688	205
479	4698	195
480	4722	186
481	4737	176
482	4756	167
483	4767	157
484	4778	147
485	4793	138
486	4813	128
487	4825	118
488	4863	109
489	4880	99
490	4898	89
491	4914	79
492	4941	70
493	4956	60
494	4975	50
495	4997	40
496	5009	30
497	5013	20
498	5022	10
499	5035	0
